region_name,year,country,planted_ha,harvested_ha,production_ton,yield_ton_ha,data_source
Nam Dinh,2023,VNM,2800.0,2800.0,15000.0,5.3571,GSO
Nghe An,2023,VNM,46700.0,46700.0,219600.0,4.7024,GSO
Ninh Binh,2023,VNM,4300.0,4300.0,16700.0,3.8837,GSO
Ninh Thuan,2023,VNM,11800.0,11800.0,60800.0,5.1525,GSO
Phu Tho,2023,VNM,16700.0,16700.0,81300.0,4.8683,GSO
Phu Yen,2023,VNM,3700.0,3700.0,18400.0,4.973,GSO
Quang Binh,2023,VNM,4500.0,4500.0,26700.0,5.9333,GSO
Quang Nam,2023,VNM,11600.0,11600.0,58100.0,5.0086,GSO
Quang Ngai,2023,VNM,10000.0,10000.0,58200.0,5.82,GSO
Quang Ninh,2023,VNM,5900.0,5900.0,27800.0,4.7119,GSO
Quang Tri,2023,VNM,4200.0,4200.0,14600.0,3.4762,GSO
Soc Trang,2023,VNM,1900.0,1900.0,8900.0,4.6842,GSO
Son La,2023,VNM,74900.0,74900.0,337200.0,4.502,GSO
Tay Ninh,2023,VNM,5000.0,5000.0,29600.0,5.92,GSO
Thai Binh,2023,VNM,8800.0,8800.0,51700.0,5.875,GSO
Thai Nguyen,2023,VNM,15100.0,15100.0,75000.0,4.9669,GSO
Thanh Hoa,2023,VNM,38800.0,38800.0,183500.0,4.7294,GSO
Thua Thien-Hue,2023,VNM,1500.0,1500.0,6000.0,4.0,GSO
Tien Giang,2023,VNM,2300.0,2300.0,8400.0,3.6522,GSO
Tra Vinh,2023,VNM,3800.0,3800.0,23300.0,6.1316,GSO
Tuyen Quang,2023,VNM,18800.0,18800.0,86800.0,4.617,GSO
Vinh Long,2023,VNM,1400.0,1400.0,4600.0,3.2857,GSO
Vinh Phuc,2023,VNM,9000.0,9000.0,42600.0,4.7333,GSO
Yen Bai,2023,VNM,29000.0,29000.0,105100.0,3.6241,GSO
