region_id,region_name,province_bps,country,year,yield_ku_ha,yield_ton_ha,harvested_ha,production_ton,data_source,method_note
IDN-53,East Nusa Tenggara,NUSA TENGGARA TIMUR,IDN,2023,25.8,2.58,101512.09,261854.94,BPS,KSA
IDN-53,East Nusa Tenggara,NUSA TENGGARA TIMUR,IDN,2024,26.93,2.693,108816.1,293052.3,BPS,KSA
IDN-61,West Kalimantan,KALIMANTAN BARAT,IDN,2020,42.96,4.296,4721.73,20284.05,BPS,KSA
IDN-61,West Kalimantan,KALIMANTAN BARAT,IDN,2021,49.63,4.963,8916.04,44252.44,BPS,KSA
IDN-61,West Kalimantan,KALIMANTAN BARAT,IDN,2022,43.81,4.381,16371.14,71717.47,BPS,KSA
IDN-61,West Kalimantan,KALIMANTAN BARAT,IDN,2023,43.88,4.388,15099.14,66248.12,BPS,KSA
IDN-61,West Kalimantan,KALIMANTAN BARAT,IDN,2024,46.49,4.649,19449.93,90419.41,BPS,KSA
IDN-62,Central Kalimantan,KALIMANTAN TENGAH,IDN,2020,53.3,5.33,5816.31,30998.17,BPS,KSA
IDN-62,Central Kalimantan,KALIMANTAN TENGAH,IDN,2021,53.76,5.376,6591.87,35440.16,BPS,KSA
IDN-62,Central Kalimantan,KALIMANTAN TENGAH,IDN,2022,48.17,4.817,7459.13,35933.96,BPS,KSA
IDN-62,Central Kalimantan,KALIMANTAN TENGAH,IDN,2023,42.93,4.293,5935.59,25482.89,BPS,KSA
IDN-62,Central Kalimantan,KALIMANTAN TENGAH,IDN,2024,52.17,5.217,8555.57,44638.26,BPS,KSA
IDN-63,South Kalimantan,KALIMANTAN SELATAN,IDN,2020,53.06,5.306,28796.76,152796.9,BPS,KSA
IDN-63,South Kalimantan,KALIMANTAN SELATAN,IDN,2021,57.98,5.798,23340.2,135325.9,BPS,KSA
IDN-63,South Kalimantan,KALIMANTAN SELATAN,IDN,2022,60.08,6.008,25342.64,152255.06,BPS,KSA
IDN-63,South Kalimantan,KALIMANTAN SELATAN,IDN,2023,61.01,6.101,18382.82,112150.44,BPS,KSA
IDN-63,South Kalimantan,KALIMANTAN SELATAN,IDN,2024,58.32,5.832,18766.21,109438.4,BPS,KSA
IDN-64,East Kalimantan,KALIMANTAN TIMUR,IDN,2020,53.21,5.321,1989.07,10584.65,BPS,KSA
IDN-64,East Kalimantan,KALIMANTAN TIMUR,IDN,2021,57.61,5.761,2526.48,14554.97,BPS,KSA
IDN-64,East Kalimantan,KALIMANTAN TIMUR,IDN,2022,47.03,4.703,3624.48,17045.44,BPS,KSA
IDN-64,East Kalimantan,KALIMANTAN TIMUR,IDN,2023,60.12,6.012,1867.63,11228.48,BPS,KSA
IDN-64,East Kalimantan,KALIMANTAN TIMUR,IDN,2024,43.02,4.302,919.3,3955.26,BPS,KSA
IDN-65,North Kalimantan,KALIMANTAN UTARA,IDN,2020,39.93,3.993,292.82,1169.07,BPS,KSA
IDN-65,North Kalimantan,KALIMANTAN UTARA,IDN,2021,51.1,5.11,75.36,385.1,BPS,KSA
IDN-65,North Kalimantan,KALIMANTAN UTARA,IDN,2022,52.63,5.263,163.32,859.57,BPS,KSA
IDN-65,North Kalimantan,KALIMANTAN UTARA,IDN,2023,50.24,5.024,170.45,856.42,BPS,KSA
IDN-65,North Kalimantan,KALIMANTAN UTARA,IDN,2024,50.4,5.04,209.95,1058.24,BPS,KSA
IDN-71,North Sulawesi,SULAWESI UTARA,IDN,2020,41.19,4.119,42343.67,174417.59,BPS,KSA
IDN-71,North Sulawesi,SULAWESI UTARA,IDN,2021,42.65,4.265,39055.74,166579.9,BPS,KSA
IDN-71,North Sulawesi,SULAWESI UTARA,IDN,2022,34.08,3.408,34918.69,119008.39,BPS,KSA
IDN-71,North Sulawesi,SULAWESI UTARA,IDN,2023,32.87,3.287,25262.2,83046.33,BPS,KSA
IDN-71,North Sulawesi,SULAWESI UTARA,IDN,2024,37.35,3.735,30190.23,112771.9,BPS,KSA
IDN-72,Central Sulawesi,SULAWESI TENGAH,IDN,2020,44.78,4.478,14648.4,65595.66,BPS,KSA
IDN-72,Central Sulawesi,SULAWESI TENGAH,IDN,2021,44.88,4.488,14152.43,63514.84,BPS,KSA
